AT,Austria,34,47,65,63
BE,Belgium,47,64,74,70
BG,Bulgaria,26,60,51,49
CY,Cyprus,11,29,44,46
CZ,Czech Republic,19,48,26,55
DE,Germany,41,60,71,73
DK,Denmark,57,75,33,71
EE,Estonia,19,66,76,72
EL,Greece,13,29,62,42
ES,Spain,18,48,56,69
FI,Finland,38,58,75,73
FR,France,36,40,63,57
HR,Croatia,42,62,57,58
HU,Hungary,37,46,55,59
IE,Ireland,31,67,70,67
IT,Italy,17,40,53,45
LT,Lithuania,23,66,40,64
LU,Luxembourg,42,63,79,85
LV,Latvia,15,59,53,53
MT,Malta,46,67,69,74
NL,Netherlands,40,61,71,58
PL,Poland,39,66,35,67
PT,Portugal,18,31,50,58
RO,Romania,19,63,58,56
SE,Sweden,47,59,23,69
SI,Slovenia,28,54,78,61
SK,Slovak Republic,27,57,78,70
UK,UK,19,45,19,42